Id,Référence,Empreinte,Quantité,Désignation,Fournisseur et réf
1,"J103,J105",PinSocket_1x02_P2.54mm_Vertical,2,Extented Port,
2,R102,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,4k7,
3,SW101,SW_PUSH_6mm,1,SW_Push,
4,J102,Ardu89_Uno_Analog_Power_Connector,1,Conn_01x16,
5,U2,TSOT-23-5_HandSoldering,1,LP2985-33DBVR,
6,"C102,C2,C4,C104,C201",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,5,100n,
7,"R105,R106",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,2,330,
8,U1,SOT230P700X180-4N,1,LD1117S50TR,
9,"H2,H3,H4",MountingHole_4.3mm_M4_DIN965,3,MountingHole,
10,"D1,D200,D2",D_1206_3216Metric_Pad1.42x1.75mm_HandSolder,3,SM34,
11,"D101,D102",D_1206_3216Metric_Pad1.42x1.75mm_HandSolder,2,1N5819W,
12,J104,PinSocket_1x05_P2.54mm_Vertical,1,Extended Port,
13,"C1,C101,C3",C_1206_POL_3216Metric_Pad1.33x1.80mm_HandSolder,3,10µ,
14,U201,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
15,J101,Ardu89_Uno_Digital_Connector,1,Conn_01x19,
16,J106,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
17,U101,DIP-40_W15.24mm_Socket_LongPads,1,89C5x,
18,"Q102,Q101",TSOT-23_HandSoldering,2,MMBTA2907,
19,"R101,R103,R104,R130,R201",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,5,1k,
20,"C103,C105",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,2,22p,
21,D130,D_1206_3216Metric_Pad1.42x1.75mm_HandSolder,1,BUILTIN_LED,
22,D201,D_1206_3216Metric_Pad1.42x1.75mm_HandSolder,1,ON+Rx LED,
23,X101,Crystal_HC49-U-3PinB_Vertical,1,11.0592MHz,
24,H1,MountingHole_4.3mm_M4_DIN965,1,Mounting Hole 4.3mm,
25,J201,USB_B_Lumberg_2411_02_Horizontal,1,USB_TYPE_B,
26,J1,BarrelJack_Horizontal,1,Jack-DC,
